Retirement Planning Example,,,,
,,7%,4%,6%
Age,NW,Investment Gains,Wtihdrawals,Inflation
55,"$1,200,000.00",,,
56,"$1,236,000.00","$84,000.00","$48,000.00",
57,"$1,271,640.00","$86,520.00","$50,880.00",
58,"$1,306,722.00","$89,014.80","$53,932.80",
59,"$1,341,023.77","$91,470.54","$57,168.77",
60,"$1,374,296.54","$93,871.66","$60,598.89",
61,"$1,406,262.47","$96,200.76","$64,234.83",
62,"$1,436,611.93","$98,438.37","$68,088.92",
63,"$1,465,000.51","$100,562.83","$72,174.25",
64,"$1,491,045.84","$102,550.04","$76,504.71",
65,"$1,514,324.06","$104,373.21","$81,094.99",
66,"$1,534,366.05","$106,002.68","$85,960.69",
67,"$1,550,653.34","$107,405.62","$91,118.33",
68,"$1,562,613.65","$108,545.73","$96,585.43",
69,"$1,569,616.05","$109,382.96","$102,380.56",
70,"$1,570,965.78","$109,873.12","$108,523.39",
71,"$1,565,898.59","$109,967.60","$115,034.79",
72,"$1,553,574.61","$109,612.90","$121,936.88",
73,"$1,533,071.74","$108,750.22","$129,253.09",
74,"$1,503,378.48","$107,315.02","$137,008.28",
75,"$1,463,386.20","$105,236.49","$145,228.78",
76,"$1,411,880.73","$102,437.03","$153,942.50",
77,"$1,347,533.33","$98,831.65","$163,179.05",
78,"$1,268,890.87","$94,327.33","$172,969.80",
79,"$1,174,365.25","$88,822.36","$183,347.98",
80,"$1,062,221.95","$82,205.57","$194,348.86",
81,"$930,567.69","$74,355.54","$206,009.79",
82,"$777,337.05","$65,139.74","$218,370.38",
83,"$600,278.04","$54,413.59","$231,472.61",
84,"$396,936.54","$42,019.46","$245,360.96",
